Date,Time,"CPU (Tctl/Tdie) [°C]","CPU 패키지 전력 소비 [W]","CPU PPT [W]","CPU [°C]",
02.11.2025,8:33:13.299,43.2,30.358,30.327,43.0,
02.11.2025,8:33:15.306,45.5,27.822,28.228,42.0,
02.11.2025,8:33:17.309,56.5,76.003,76.018,55.0,
02.11.2025,8:33:19.310,58.2,75.971,76.003,57.0,
02.11.2025,8:33:21.310,58.8,75.997,76.000,58.0,
02.11.2025,8:33:23.311,59.1,75.980,76.000,59.0,
02.11.2025,8:33:25.313,59.4,76.010,75.999,59.0,
02.11.2025,8:33:27.312,59.6,75.974,76.000,59.0,
02.11.2025,8:33:29.314,59.8,75.990,76.000,59.0,
02.11.2025,8:33:31.314,60.0,75.984,76.001,60.0,
02.11.2025,8:33:33.315,60.1,76.027,76.000,60.0,
02.11.2025,8:33:35.316,60.2,75.981,76.000,60.0,
02.11.2025,8:33:37.317,60.4,75.963,76.001,60.0,
02.11.2025,8:33:39.310,60.6,75.993,75.999,60.0,
02.11.2025,8:33:41.311,60.8,75.995,75.999,60.0,
02.11.2025,8:33:43.313,60.9,76.018,76.002,60.0,
02.11.2025,8:33:45.313,61.0,75.974,76.000,61.0,
02.11.2025,8:33:47.313,61.2,76.007,75.999,61.0,
02.11.2025,8:33:49.313,61.4,75.970,76.000,61.0,
02.11.2025,8:33:51.322,61.4,76.006,75.998,61.0,
02.11.2025,8:33:53.324,61.5,75.994,76.003,61.0,
02.11.2025,8:33:55.323,61.6,75.977,75.998,61.0,
02.11.2025,8:33:57.323,61.8,76.018,76.002,61.0,
02.11.2025,8:33:59.323,61.8,75.985,75.999,61.0,
02.11.2025,8:34:1.325,61.9,75.996,76.000,61.0,
02.11.2025,8:34:3.326,61.9,75.973,75.998,61.0,
02.11.2025,8:34:5.327,62.0,76.012,76.003,61.0,
02.11.2025,8:34:7.327,62.0,75.997,76.000,62.0,
02.11.2025,8:34:9.327,62.1,75.971,75.997,62.0,
02.11.2025,8:34:11.343,62.1,75.991,76.002,62.0,
02.11.2025,8:34:13.344,62.1,76.006,76.000,62.0,
02.11.2025,8:34:15.344,62.1,76.011,76.002,62.0,
02.11.2025,8:34:17.346,62.2,75.955,75.999,62.0,
02.11.2025,8:34:19.354,62.2,75.994,76.001,62.0,
02.11.2025,8:34:21.357,62.4,76.017,75.999,62.0,
02.11.2025,8:34:23.356,62.4,75.968,76.001,62.0,
02.11.2025,8:34:25.364,62.4,75.997,75.998,62.0,
02.11.2025,8:34:27.364,62.4,75.992,75.999,62.0,
02.11.2025,8:34:29.366,62.4,76.001,76.004,62.0,
02.11.2025,8:34:31.366,62.4,75.993,76.000,62.0,
02.11.2025,8:34:33.366,62.4,75.996,75.999,62.0,
02.11.2025,8:34:35.367,62.5,76.003,76.001,62.0,
02.11.2025,8:34:37.368,62.5,75.984,76.001,62.0,
02.11.2025,8:34:39.369,62.5,75.991,75.998,62.0,
02.11.2025,8:34:41.369,62.6,75.980,76.001,62.0,
02.11.2025,8:34:43.370,62.6,75.982,76.001,62.0,
02.11.2025,8:34:45.371,62.6,76.015,75.999,62.0,
02.11.2025,8:34:47.373,62.6,75.994,75.998,62.0,
02.11.2025,8:34:49.375,62.6,75.956,76.002,62.0,
02.11.2025,8:34:51.386,62.8,76.011,75.998,62.0,
02.11.2025,8:34:53.379,62.6,75.995,76.002,62.0,
02.11.2025,8:34:55.380,62.6,75.966,76.001,62.0,
02.11.2025,8:34:57.383,62.8,76.024,76.000,62.0,
02.11.2025,8:34:59.384,62.8,75.989,76.000,62.0,
02.11.2025,8:35:1.385,62.8,75.977,75.999,62.0,
02.11.2025,8:35:3.386,62.8,76.012,76.000,62.0,
02.11.2025,8:35:5.386,62.9,75.974,76.002,62.0,
02.11.2025,8:35:7.381,62.9,75.993,75.999,62.0,
02.11.2025,8:35:9.382,62.9,75.984,76.000,62.0,
02.11.2025,8:35:11.382,62.9,75.987,76.000,62.0,
02.11.2025,8:35:13.384,62.9,75.983,76.001,62.0,
02.11.2025,8:35:15.385,62.9,76.016,75.999,62.0,
02.11.2025,8:35:17.387,62.9,76.002,76.000,62.0,
02.11.2025,8:35:19.389,63.2,75.990,76.000,63.0,
02.11.2025,8:35:21.398,63.1,73.695,73.328,63.0,
02.11.2025,8:35:23.392,60.4,34.774,34.710,60.0,
02.11.2025,8:35:25.401,56.9,27.476,27.498,57.0,
02.11.2025,8:35:27.394,53.9,27.563,27.586,54.0,
02.11.2025,8:35:29.404,51.4,26.911,26.940,51.0,
02.11.2025,8:35:31.412,49.1,26.515,26.507,49.0,
02.11.2025,8:35:33.420,47.5,27.053,27.063,47.0,
02.11.2025,8:35:35.429,46.1,26.846,26.825,46.0,
02.11.2025,8:35:37.437,45.0,26.689,26.725,45.0,
02.11.2025,8:35:39.445,44.1,26.657,26.635,44.0,
02.11.2025,8:35:41.437,43.5,26.447,26.518,43.0,
02.11.2025,8:35:43.445,42.9,26.637,26.612,42.0,
02.11.2025,8:35:45.452,42.5,26.750,26.742,42.0,
02.11.2025,8:35:47.459,42.1,26.376,26.409,42.0,
02.11.2025,8:35:49.466,42.1,27.053,27.060,42.0,
02.11.2025,8:35:51.473,41.9,26.679,26.689,41.0,
02.11.2025,8:35:53.482,41.5,26.290,26.326,41.0,
02.11.2025,8:35:55.490,41.5,26.585,26.680,41.0,
02.11.2025,8:35:57.483,41.4,26.244,26.237,41.0,
02.11.2025,8:35:59.492,41.1,25.985,25.995,41.0,
02.11.2025,8:36:1.485,41.1,26.681,26.677,41.0,
02.11.2025,8:36:3.494,41.0,26.318,26.362,40.0,
02.11.2025,8:36:5.487,40.8,26.147,26.051,40.0,
02.11.2025,8:36:7.483,40.8,26.511,26.514,40.0,
02.11.2025,8:36:9.491,41.0,27.065,27.176,40.0,
02.11.2025,8:36:11.483,40.6,26.261,26.172,40.0,
