Date,Time,"CPU (Tctl/Tdie) [°C]","CPU 패키지 전력 소비 [W]","CPU PPT [W]","CPU [°C]",
02.11.2025,8:5:51.865,50.2,37.336,37.298,50.0,
02.11.2025,8:5:53.862,50.9,37.597,37.615,50.0,
02.11.2025,8:5:55.864,50.9,37.597,37.615,56.0,
02.11.2025,8:5:57.865,59.0,65.810,66.163,61.0,
02.11.2025,8:5:59.865,62.4,75.993,76.000,62.0,
02.11.2025,8:6:1.878,62.8,75.996,76.000,62.0,
02.11.2025,8:6:3.858,63.1,75.983,76.001,63.0,
02.11.2025,8:6:5.861,63.4,75.986,76.000,63.0,
02.11.2025,8:6:7.866,63.6,75.995,76.000,63.0,
02.11.2025,8:6:9.869,63.9,76.013,76.000,63.0,
02.11.2025,8:6:11.857,64.1,75.985,75.999,64.0,
02.11.2025,8:6:13.873,64.2,75.980,76.000,64.0,
02.11.2025,8:6:15.869,64.5,75.993,75.999,64.0,
02.11.2025,8:6:17.857,64.6,75.990,76.002,64.0,
02.11.2025,8:6:19.861,64.8,75.997,75.999,64.0,
02.11.2025,8:6:21.865,64.9,76.019,76.002,64.0,
02.11.2025,8:6:23.871,65.1,75.965,76.000,65.0,
02.11.2025,8:6:25.875,65.2,76.001,76.000,65.0,
02.11.2025,8:6:27.871,65.4,75.985,76.001,65.0,
02.11.2025,8:6:29.875,65.5,75.997,75.998,65.0,
02.11.2025,8:6:31.879,65.6,75.976,76.002,65.0,
02.11.2025,8:6:33.883,65.8,76.000,75.998,65.0,
02.11.2025,8:6:35.871,65.9,75.982,76.000,65.0,
02.11.2025,8:6:37.876,66.0,76.017,76.002,66.0,
02.11.2025,8:6:39.881,66.1,76.001,75.999,66.0,
02.11.2025,8:6:41.885,66.2,75.987,76.000,66.0,
02.11.2025,8:6:43.874,66.4,75.966,76.000,66.0,
02.11.2025,8:6:45.878,66.4,75.992,76.001,66.0,
02.11.2025,8:6:47.883,66.6,76.006,75.998,66.0,
02.11.2025,8:6:49.888,66.8,76.007,76.002,66.0,
02.11.2025,8:6:51.893,66.9,75.977,75.998,66.0,
02.11.2025,8:6:53.898,67.0,76.004,76.002,66.0,
02.11.2025,8:6:55.901,67.1,75.968,76.000,67.0,
02.11.2025,8:6:57.890,67.2,75.990,76.001,67.0,
02.11.2025,8:6:59.894,67.2,76.019,75.999,67.0,
02.11.2025,8:7:1.897,67.4,75.963,75.998,67.0,
02.11.2025,8:7:3.901,67.4,76.007,76.002,67.0,
02.11.2025,8:7:5.888,67.5,75.989,76.001,67.0,
02.11.2025,8:7:7.891,67.6,75.987,76.000,67.0,
02.11.2025,8:7:9.894,67.8,76.010,76.001,67.0,
02.11.2025,8:7:11.897,67.9,75.985,75.999,67.0,
02.11.2025,8:7:13.886,67.9,75.972,76.000,67.0,
02.11.2025,8:7:15.891,68.0,75.990,76.000,68.0,
02.11.2025,8:7:17.895,68.1,75.992,76.000,68.0,
02.11.2025,8:7:19.899,68.1,75.992,76.000,68.0,
02.11.2025,8:7:21.888,68.2,76.025,76.000,68.0,
02.11.2025,8:7:23.893,68.4,75.978,76.000,68.0,
02.11.2025,8:7:25.897,68.5,75.988,76.001,68.0,
02.11.2025,8:7:27.902,68.5,75.989,76.000,68.0,
02.11.2025,8:7:29.906,68.6,75.977,75.999,68.0,
02.11.2025,8:7:31.910,68.8,76.026,76.001,68.0,
02.11.2025,8:7:33.915,68.8,75.973,76.000,68.0,
02.11.2025,8:7:35.903,68.9,76.007,76.000,68.0,
02.11.2025,8:7:37.907,68.9,75.970,76.001,68.0,
02.11.2025,8:7:39.911,68.9,75.993,75.999,68.0,
02.11.2025,8:7:41.914,69.0,76.008,76.000,69.0,
02.11.2025,8:7:43.903,69.0,75.970,76.001,69.0,
02.11.2025,8:7:45.908,69.1,75.993,76.000,69.0,
02.11.2025,8:7:47.912,69.2,75.984,76.000,69.0,
02.11.2025,8:7:49.906,67.6,54.420,54.010,67.0,
02.11.2025,8:7:51.904,64.4,31.452,31.459,64.0,
02.11.2025,8:7:53.903,61.6,29.643,29.646,61.0,
02.11.2025,8:7:55.904,59.8,34.816,34.829,59.0,
02.11.2025,8:7:57.914,57.6,28.827,28.838,57.0,
02.11.2025,8:7:59.905,55.9,28.836,28.821,56.0,
02.11.2025,8:8:1.914,54.6,29.020,29.005,54.0,
02.11.2025,8:8:3.908,53.6,28.816,28.862,53.0,
02.11.2025,8:8:5.903,52.6,28.700,28.703,52.0,
02.11.2025,8:8:7.913,52.1,28.191,28.179,52.0,
02.11.2025,8:8:9.906,51.6,28.178,28.233,51.0,
02.11.2025,8:8:11.915,51.2,28.197,28.182,51.0,
02.11.2025,8:8:13.906,51.0,28.975,28.998,51.0,
02.11.2025,8:8:15.913,50.5,27.609,27.590,50.0,
02.11.2025,8:8:17.906,50.2,28.212,28.209,50.0,
02.11.2025,8:8:19.915,50.4,28.462,28.480,50.0,
02.11.2025,8:8:21.907,49.9,27.815,27.816,49.0,
02.11.2025,8:8:23.914,49.4,27.899,27.885,49.0,
02.11.2025,8:8:25.905,49.6,28.611,28.606,49.0,
02.11.2025,8:8:27.912,49.2,27.726,27.741,49.0,
02.11.2025,8:8:29.918,49.1,28.167,28.199,49.0,
02.11.2025,8:8:31.925,49.1,28.128,28.120,49.0,
02.11.2025,8:8:33.932,49.0,29.198,29.275,49.0,
02.11.2025,8:8:35.924,49.2,30.343,30.289,49.0,
02.11.2025,8:8:37.934,49.0,27.858,27.884,49.0,
02.11.2025,8:8:39.943,48.8,27.954,27.963,48.0,
02.11.2025,8:8:41.936,48.5,28.126,28.139,48.0,
02.11.2025,8:8:43.945,48.5,28.250,28.259,48.0,
02.11.2025,8:8:45.937,48.1,27.380,27.377,48.0,
02.11.2025,8:8:47.944,48.6,28.641,28.631,48.0,
